experiment_id,candidate,model,loss_or_objective,feature_strategy,hypothesis,n_features,features
PP-CMETA4,artwork_only,lightgbm,quantile_q10_q50_q90,작품 정보만,사용자 작가 메타가 없을 때의 기준,12,"width_cm, height_cm, depth_cm, area_cm2, log_area, aspect_ratio, has_depth, is_3d_candidate, medium_category, support_category, size_bucket, support_size_bucket"
PP-CMETA4,user_meta_core,lightgbm,quantile_q10_q50_q90,작품+사용자 입력 core 작가 메타,운영 입력 가능성이 높은 작가 메타 효과,26,"width_cm, height_cm, depth_cm, area_cm2, log_area, aspect_ratio, has_depth, is_3d_candidate, medium_category, support_category, size_bucket, support_size_bucket, artist_meta_birth_year, artist_meta_total_works, artist_meta_followers, artist_meta_career_stage, artist_meta_total_works_log, artist_meta_followers_log, artist_meta_birth_year_missing, artist_meta_total_works_missing, artist_meta_followers_missing, artist_meta_career_stage_missing, artist_meta_is_p1_flag, artist_meta_has_international_flag, artist_meta_nationality, artist_meta_nationality_ko"
PP-CMETA4,user_meta_core_bucket,lightgbm,quantile_q10_q50_q90,작품+사용자 입력 core 작가 메타+메타 bucket,작가 메타를 구간화해 안정화,34,"width_cm, height_cm, depth_cm, area_cm2, log_area, aspect_ratio, has_depth, is_3d_candidate, medium_category, support_category, size_bucket, support_size_bucket, artist_meta_birth_year, artist_meta_total_works, artist_meta_followers, artist_meta_career_stage, artist_meta_total_works_log, artist_meta_followers_log, artist_meta_birth_year_missing, artist_meta_total_works_missing, artist_meta_followers_missing, artist_meta_career_stage_missing, artist_meta_is_p1_flag, artist_meta_has_international_flag, artist_meta_nationality, artist_meta_nationality_ko, artist_birth_period_bucket, artist_inventory_bucket, artist_followers_bucket, artist_career_stage_bucket, artist_meta_completeness_bucket, medium_birth_period_bucket, support_meta_completeness_bucket, career_size_bucket"
PP-CMETA4,existing_meta_full,lightgbm,quantile_q10_q50_q90,작품+기존 작가 메타 전체,기존 메타 전체를 search 없이 사용한 참고 후보,32,"width_cm, height_cm, depth_cm, area_cm2, log_area, aspect_ratio, has_depth, is_3d_candidate, medium_category, support_category, size_bucket, support_size_bucket, artist_meta_birth_year, artist_meta_total_works, artist_meta_for_sale_works, artist_meta_followers, artist_meta_for_sale_ratio, artist_meta_career_stage, artist_meta_total_works_log, artist_meta_for_sale_works_log, artist_meta_followers_log, artist_meta_birth_year_missing, artist_meta_total_works_missing, artist_meta_for_sale_works_missing, artist_meta_followers_missing, artist_meta_career_stage_missing, artist_meta_is_p1_flag, artist_meta_has_international_flag, is_high_price_candidate_flag, artist_meta_source, artist_meta_nationality, artist_meta_nationality_ko"
PP-CMETA4,existing_meta_full_bucket,lightgbm,quantile_q10_q50_q90,작품+기존 작가 메타 전체+메타 bucket,기존 메타 전체 구간화 참고 후보,40,"width_cm, height_cm, depth_cm, area_cm2, log_area, aspect_ratio, has_depth, is_3d_candidate, medium_category, support_category, size_bucket, support_size_bucket, artist_meta_birth_year, artist_meta_total_works, artist_meta_for_sale_works, artist_meta_followers, artist_meta_for_sale_ratio, artist_meta_career_stage, artist_meta_total_works_log, artist_meta_for_sale_works_log, artist_meta_followers_log, artist_meta_birth_year_missing, artist_meta_total_works_missing, artist_meta_for_sale_works_missing, artist_meta_followers_missing, artist_meta_career_stage_missing, artist_meta_is_p1_flag, artist_meta_has_international_flag, is_high_price_candidate_flag, artist_meta_source, artist_meta_nationality, artist_meta_nationality_ko, artist_birth_period_bucket, artist_inventory_bucket, artist_followers_bucket, artist_career_stage_bucket, artist_meta_completeness_bucket, medium_birth_period_bucket, support_meta_completeness_bucket, career_size_bucket"
PP-CMETA4,manual_profile_context,lightgbm,quantile_q10_q50_q90,작품+사용자 입력 작가 메타+전시/갤러리 문맥,사용자가 알고 있는 전시/갤러리 정보까지 입력할 때의 후보,56,"width_cm, height_cm, depth_cm, area_cm2, log_area, aspect_ratio, has_depth, is_3d_candidate, medium_category, support_category, size_bucket, support_size_bucket, artist_meta_birth_year, artist_meta_total_works, artist_meta_followers, artist_meta_career_stage, artist_meta_total_works_log, artist_meta_followers_log, artist_meta_birth_year_missing, artist_meta_total_works_missing, artist_meta_followers_missing, artist_meta_career_stage_missing, artist_meta_is_p1_flag, artist_meta_has_international_flag, artist_meta_nationality, artist_meta_nationality_ko, artist_exhibition_solo_count, artist_exhibition_group_count, artist_exhibition_fair_count, artist_exhibition_total_count, artist_exhibition_available_count, artist_exhibition_solo_count_missing, artist_exhibition_group_count_missing, artist_exhibition_fair_count_missing, artist_exhibition_solo_count_log, artist_exhibition_group_count_log, artist_exhibition_fair_count_log, artist_exhibition_total_count_log, gallery_tier_raw_numeric, gallery_tier_raw_available_flag, gallery_tier_validated_score, gallery_tier_validated_available_flag, gallery_tier_any_available_flag, gallery_city_count, gallery_city_count_log, gallery_tier_raw_bucket, gallery_tier_validated, gallery_ref_type, gallery_audit_status, gallery_feature_source, exhibition_total_x_log_area, exhibition_total_x_followers_log, gallery_validated_x_followers_log, gallery_tier_x_exhibition_total_log, exhibition_size_bucket, gallery_exhibition_bucket"
PP-CMETA4,manual_profile_context_bucket,lightgbm,quantile_q10_q50_q90,작품+사용자 입력 작가 메타+전시/갤러리 문맥+bucket,전시/갤러리와 작가 메타 구간화 후보,68,"width_cm, height_cm, depth_cm, area_cm2, log_area, aspect_ratio, has_depth, is_3d_candidate, medium_category, support_category, size_bucket, support_size_bucket, artist_meta_birth_year, artist_meta_total_works, artist_meta_followers, artist_meta_career_stage, artist_meta_total_works_log, artist_meta_followers_log, artist_meta_birth_year_missing, artist_meta_total_works_missing, artist_meta_followers_missing, artist_meta_career_stage_missing, artist_meta_is_p1_flag, artist_meta_has_international_flag, artist_meta_nationality, artist_meta_nationality_ko, artist_exhibition_solo_count, artist_exhibition_group_count, artist_exhibition_fair_count, artist_exhibition_total_count, artist_exhibition_available_count, artist_exhibition_solo_count_missing, artist_exhibition_group_count_missing, artist_exhibition_fair_count_missing, artist_exhibition_solo_count_log, artist_exhibition_group_count_log, artist_exhibition_fair_count_log, artist_exhibition_total_count_log, gallery_tier_raw_numeric, gallery_tier_raw_available_flag, gallery_tier_validated_score, gallery_tier_validated_available_flag, gallery_tier_any_available_flag, gallery_city_count, gallery_city_count_log, gallery_tier_raw_bucket, gallery_tier_validated, gallery_ref_type, gallery_audit_status, gallery_feature_source, exhibition_total_x_log_area, exhibition_total_x_followers_log, gallery_validated_x_followers_log, gallery_tier_x_exhibition_total_log, exhibition_size_bucket, gallery_exhibition_bucket, artist_birth_period_bucket, artist_inventory_bucket, artist_followers_bucket, artist_career_stage_bucket, artist_meta_completeness_bucket, artist_exhibition_bucket, gallery_tier_bucket, profile_context_bucket, medium_birth_period_bucket, support_meta_completeness_bucket, career_size_bucket, size_profile_context_bucket"
PP-CMETA4,existing_meta_full_lgb_residual_clip,lightgbm_quantile_plus_lgb_residual,q50_plus_regression_l1_residual,작품+기존 작가 메타 전체,기존 메타 전체를 search 없이 사용한 참고 후보; search 없는 residual 보정,35,"width_cm, height_cm, depth_cm, area_cm2, log_area, aspect_ratio, has_depth, is_3d_candidate, medium_category, support_category, size_bucket, support_size_bucket, artist_meta_birth_year, artist_meta_total_works, artist_meta_for_sale_works, artist_meta_followers, artist_meta_for_sale_ratio, artist_meta_career_stage, artist_meta_total_works_log, artist_meta_for_sale_works_log, artist_meta_followers_log, artist_meta_birth_year_missing, artist_meta_total_works_missing, artist_meta_for_sale_works_missing, artist_meta_followers_missing, artist_meta_career_stage_missing, artist_meta_is_p1_flag, artist_meta_has_international_flag, is_high_price_candidate_flag, artist_meta_source, artist_meta_nationality, artist_meta_nationality_ko, base_pred_log, quantile_width_log, price_range_ratio"
PP-CMETA4,existing_meta_full_search_free_guard_q40,lightgbm_quantile_guard_only,q50_or_q40_guard,작품+기존 작가 메타 전체,기존 메타 전체를 search 없이 사용한 참고 후보; search 없이 Quantile 폭과 메타 완성도로 q40 보수 후보 조건부 선택,32,"width_cm, height_cm, depth_cm, area_cm2, log_area, aspect_ratio, has_depth, is_3d_candidate, medium_category, support_category, size_bucket, support_size_bucket, artist_meta_birth_year, artist_meta_total_works, artist_meta_for_sale_works, artist_meta_followers, artist_meta_for_sale_ratio, artist_meta_career_stage, artist_meta_total_works_log, artist_meta_for_sale_works_log, artist_meta_followers_log, artist_meta_birth_year_missing, artist_meta_total_works_missing, artist_meta_for_sale_works_missing, artist_meta_followers_missing, artist_meta_career_stage_missing, artist_meta_is_p1_flag, artist_meta_has_international_flag, is_high_price_candidate_flag, artist_meta_source, artist_meta_nationality, artist_meta_nationality_ko"
PP-CMETA4,user_meta_core_bucket_lgb_residual_clip,lightgbm_quantile_plus_lgb_residual,q50_plus_regression_l1_residual,작품+사용자 입력 core 작가 메타+메타 bucket,작가 메타를 구간화해 안정화; search 없는 residual 보정,37,"width_cm, height_cm, depth_cm, area_cm2, log_area, aspect_ratio, has_depth, is_3d_candidate, medium_category, support_category, size_bucket, support_size_bucket, artist_meta_birth_year, artist_meta_total_works, artist_meta_followers, artist_meta_career_stage, artist_meta_total_works_log, artist_meta_followers_log, artist_meta_birth_year_missing, artist_meta_total_works_missing, artist_meta_followers_missing, artist_meta_career_stage_missing, artist_meta_is_p1_flag, artist_meta_has_international_flag, artist_meta_nationality, artist_meta_nationality_ko, artist_birth_period_bucket, artist_inventory_bucket, artist_followers_bucket, artist_career_stage_bucket, artist_meta_completeness_bucket, medium_birth_period_bucket, support_meta_completeness_bucket, career_size_bucket, base_pred_log, quantile_width_log, price_range_ratio"
